      Node Label     U.Magnitude            U.U1            U.U2
                          @Loc 1          @Loc 1          @Loc 1
-----------------------------------------------------------------
             266         39.3494        -4.39029        -39.1037
             267         32.2556        -4.74809        -31.9042
             268         24.6992        -4.03454        -24.3674
             269         15.7688         15.6854         1.61941
             270         7.63926         3.34397        -6.86849
             271         15.7672        -1.62006        -15.6838
             272         24.7007         24.3687         4.03589
             273         32.2565         31.9049         4.74949
             274         39.3495         39.1038         4.39040
             275         46.3678         46.2992         2.52245
             276             50.             50.     63.4987E-39
             277             50.             50.     310.089E-39
             278             50.             50.     262.876E-39
             279             50.             50.    -209.303E-39
             280             50.             50.     146.015E-39
             281             50.             50.     57.6501E-39
             282             50.             50.    -62.5049E-39
             283         24.6996         24.3678        -4.03499
             284         32.2558         31.9044        -4.74839
             285         39.3495         39.1039        -4.39025
             286         46.3678         46.2991        -2.52329
             287         15.7688         15.6855        -1.61898
             288         7.64361         3.34806         6.87133
             289         15.7690        -1.62084         15.6855
             290         46.3672        -2.52205         46.2985
             291         39.3493        -4.39097         39.1035
             292         32.2558        -4.75056         31.9041
             293         24.6986        -4.03326         24.3670
             294         18.1925        -18.1178         1.64671
             295         18.1925         18.1179        -1.64663
             296         18.1990         1.64931         18.1241
             297         18.1689        -18.0936        -1.65204
             298         18.1989        -1.64938        -18.1240
             299         18.1758         18.1003         1.65453
             300         18.1954        -1.65718         18.1198
             301         18.1969         1.65784        -18.1212
             302         13.6995         13.6994    -57.8013E-03
             303         9.76040        -2.20062        -9.50908
             304         13.6838     61.4709E-03        -13.6837
             305         7.80219        -5.48786        -5.54594
             306         7.80309         5.49002         5.54508
             307         13.6992        -13.6991     57.9968E-03
             308         9.75999         2.20170         9.50841
             309         9.74370        -9.48663        -2.22340
             310         13.6825    -60.5298E-03         13.6824
             311         9.74468         9.48764         2.22338
             312         9.73532         9.47526        -2.23514
             313         9.76838         2.18630        -9.52057
             314         9.77114        -2.18550         9.52359
             315         7.80083        -5.46250         5.56902
             316         13.7034    -63.5397E-03        -13.7033
             317         13.6715         13.6714     54.2856E-03
             318         7.80013         5.45985        -5.57064
             319         13.6743        -13.6742    -54.6091E-03
             320         13.7040     63.4330E-03         13.7039
             321         9.72725        -9.46534         2.24201
             322         46.8494        -1.42343        -46.8278
             323         46.8494         1.42343         46.8278
             324         46.8496        -46.8280         1.42341
             325         46.8496         46.8280        -1.42341
             326         47.0264    -911.605E-03         47.0176
             327         47.0264     911.606E-03        -47.0176
             328         47.0605         47.0519     903.614E-03
             329         47.0605        -47.0519    -903.613E-03
             330         46.8064        -1.43985         46.7842
             331         46.8431        -46.8214        -1.42696
             332         46.8064         1.43985        -46.7842
             333         46.8431         46.8214         1.42696
             334         47.2825    -582.669E-03        -47.2790
             335         46.6773    -448.852E-03         46.6751
             336         46.4671    -11.8727E-03        -46.4671
             337         47.0921    -195.480E-03        -47.0916
             338         46.4671     11.8722E-03         46.4671
             339         47.0921     195.480E-03         47.0916
             340         46.6773     448.852E-03        -46.6751
             341         47.2825     582.669E-03         47.2789
             342         47.0919        -47.0915     194.914E-03
             343         47.0919         47.0915    -194.912E-03
             344         46.6682         46.6660     452.532E-03
             345         47.2852         47.2817    -582.199E-03
             346         46.6682        -46.6660    -452.531E-03
             347         46.4537         46.4537    -10.5463E-03
             348         46.4537        -46.4537     10.5480E-03
             349         47.2852        -47.2817     582.201E-03
             350         47.2424    -588.915E-03         47.2387
             351         46.8981    -203.765E-03         46.8976
             352         46.7700     438.170E-03         46.7679
             353         47.0638     902.591E-03         47.0552
             354         47.2549        -47.2512    -588.060E-03
             355         46.8841        -46.8837    -206.612E-03
             356         46.7721        -46.7701     437.778E-03
             357         47.0647        -47.0560     902.442E-03
             358         47.2424     588.915E-03        -47.2387
             359         46.8981     203.765E-03        -46.8976
             360         46.7700    -438.170E-03        -46.7679
             361         47.0638    -902.591E-03        -47.0552
             362         47.2549         47.2512     588.061E-03
             363         46.8841         46.8837     206.614E-03
             364         46.7721         46.7701    -437.776E-03
             365         47.0647         47.0560    -902.440E-03
             366         44.0833         44.0025         2.66715
             367         41.1112         3.31087         40.9777
             368         33.9741         3.90102         33.7494
             369         26.5484        -26.3181         3.48906
             370         30.3125        -30.0659        -3.85876
             371         33.9739        -33.7492         3.90061
             372         37.6154        -37.4274        -3.75634
             373         41.1113        -40.9777         3.31079
             374         44.0833        -44.0025        -2.66715
             375         41.1112        -3.31087        -40.9777
             376         33.9741        -3.90103        -33.7494
             377         30.3125         30.0659         3.85876
             378         37.6154         37.4274         3.75634
             379         41.1113         40.9777        -3.31079
             380         33.9739         33.7492        -3.90060
             381         26.5484         26.3181        -3.48904
             382         44.0857         2.66374         44.0052
             383         37.6002         3.73648         37.4141
             384         30.2964         3.83942         30.0522
             385         26.5485        -26.3165        -3.50211
             386         34.0039        -33.7764        -3.92638
             387         41.1093        -40.9749        -3.32150
             388         30.2970        -30.0526         3.84033
             389         37.5992        -37.4132         3.73614
             390         44.0859        -44.0053         2.66373
             391         44.0857        -2.66374        -44.0052
             392         37.6002        -3.73648        -37.4141
             393         30.2964        -3.83942        -30.0522
             394         26.5488         26.3168         3.50215
             395         34.0039         33.7764         3.92639
             396         41.1093         40.9749         3.32150
             397         30.2970         30.0526        -3.84031
             398         37.5992         37.4132        -3.73614
             399         44.0859         44.0054        -2.66372
             400         26.5471         3.48794         26.3169
             401         26.5471        -3.48795        -26.3169
             402         44.0362        -2.67712         43.9547
             403         37.5603        -3.78406         37.3692
             404         44.0362         2.67712        -43.9547
             405         37.5602         3.78426        -37.3691
             406         34.0228         3.94767        -33.7930
             407         34.0245        -3.94759         33.7947
             408         26.6293        -3.49463         26.3990
             409         30.4159        -3.85870         30.1702
             410         30.4113         3.85730        -30.1657
             411         41.0411         3.33354        -40.9055
             412         26.6318         3.49750        -26.4011
             413         41.0412        -3.33350         40.9056
             414         22.5535         2.78903        -22.3804
             415         22.5520        -2.78818         22.3790
             416         22.5261         2.77931         22.3539
             417         22.5261        -2.77934        -22.3539
             418         22.5056        -22.3324        -2.78751
             419         22.5074         22.3341         2.78791
             420         22.5250        -22.3529         2.77961
             421         22.5250         22.3529        -2.77957
             422         44.4396    -491.660E-03         44.4369
             423         44.3969        -44.3940    -503.967E-03
             424         44.3969         44.3940     503.970E-03
             425         44.4396     491.659E-03        -44.4369
             426         44.7322     472.055E-03         44.7297
             427         44.7204        -44.7179     471.658E-03
             428         44.7322    -472.056E-03        -44.7297
             429         44.7204         44.7179    -471.655E-03
             430         32.3043         3.29119        -32.1362
             431         32.3055        -3.29136         32.1374
             432         24.8784        -2.58458         24.7437
             433         24.8797         2.58541        -24.7450
             434         24.7452        -24.6093        -2.58999
             435         24.7462         24.6103         2.59015
             436         12.0216        -1.31802        -11.9491
             437         12.0072        -11.9333        -1.33019
             438         12.0078         11.9339         1.33021
             439         12.0198         1.31927         11.9472
             440         11.9594         11.8826        -1.35359
             441         12.0687         1.29453        -11.9990
             442         12.0697        -1.29431         12.0001
             443         11.9558        -11.8785         1.35650
             444         15.9617         15.9576    -362.597E-03
             445         15.9616        -15.9574     362.719E-03
             446         15.9121        -15.9080    -361.607E-03
             447         15.9828     369.379E-03         15.9785
             448         15.9826    -369.475E-03        -15.9783
             449         15.9151         15.9109     362.686E-03
             450         15.9498    -372.433E-03         15.9454
             451         15.9513     373.160E-03        -15.9469
             452         41.8836     548.154E-03         41.8800
             453         41.8351        -41.8316     541.612E-03
             454         41.8836    -548.155E-03        -41.8800
             455         41.8351         41.8316    -541.608E-03
             456         41.6260    -628.361E-03         41.6213
             457         41.5223        -41.5170    -662.195E-03
             458         41.5223         41.5170     662.199E-03
             459         41.6260     628.360E-03        -41.6213
             460         44.8028     935.231E-03        -44.7931
             461         44.7952         44.7852     949.513E-03
             462         44.7952        -44.7852    -949.511E-03
             463         44.8028    -935.231E-03         44.7931
             464         44.8612    -931.249E-03        -44.8515
             465         44.8612     931.249E-03         44.8515
             466         44.8619         44.8522    -930.906E-03
             467         44.8619        -44.8522     930.908E-03
             468         9.03130         8.25425        -3.66492
             469         9.18751         3.43088        -8.52287
             470         9.18876        -3.43027         8.52446
             471         9.14678        -3.49273        -8.45366
             472         9.14564         3.49456         8.45168
             473         9.07810        -8.33740        -3.59162
             474         9.07898         8.33860         3.59107
             475         9.02912        -8.25076         3.66741
             476         25.3460        -25.2643        -2.03352
             477         25.3466         25.2649         2.03355
             478         25.5548         2.01091        -25.4756
             479         25.5541        -2.01068         25.4749
             480         32.4491         2.56174        -32.3479
             481         32.4492        -2.56169         32.3479
             482         17.3330    -323.869E-03        -17.3299
             483         17.3330     323.842E-03         17.3300
