*Element, type=CPS3
 122, 1333, 1299,  356
 123, 1038, 1005,  365
 124,  773,  684,  374
 125,  535,  481,  482
 126,  552,  480,   51
 127,  538,   50,  479
 128,  590,  476,  551
 129,  551,  476,  477
 130,  626,   24,  440
 131,  638,  221,  626
 132,  929,  885,  811
 133, 1110,  270, 1034
 134, 1197, 1043, 1133
 135,  536,   30,  447
 136,  547,  536,  447
 137,  591,   25,  441
 138,  715,  611,  592
 139, 1777,  830,  940
 140,  942,  794,  875
 141,  702,  548,  448
 142, 1133, 1057,  849
 143,  592,   26,  442
 144,  782,  613,  593
 145,  895,  833,  765
 146,  549,  450,   31
 147,  907,  449,  548
 148,  593,   27,  444
 149,  716,  593,  614
 150,  755,  537,  318
 151,  703,  537,  451
 152,  594,  445,  550
 153,  550,  453,  452
 154, 1045,  657,  662
 155, 1181,  341,  662
 156,  750,  658,  660
 157,  845,  801,  692
 158, 1165, 1027,  377
 159, 1414, 1272, 1322
 160, 1248,  998, 1018
 161,  991,  928,  812
 162,  618,  617,  474
 163,  619,  475,   48
 164,  619,  595,  475
 165,  894,  757,  795
 166, 1106, 1030,  986
 167, 1394, 1290, 1328
 168, 1488, 1439,  370
 169, 1265, 1210,  361
 170,  954,  922,  360
 171, 1176, 1080,  351
 172, 1187,  341, 1119
 173, 1077,  323, 1045
 174, 1055,  797,  877
 175,  660,  458,  656
 176,  692,  656,  577
 177,  846,  769,  367
 178, 1103, 1027,  979
 179, 1093, 1021,  394
 180,  900,  815,  888
 181,  616,  401,  597
 182,  617,  473,  474
 183,  577,  466,  570
 184,  569,  465,   40
 185,  945,  777,  861
 186, 1816, 1112, 1168
 187,  931,  806,  891
 188,  641,  628,  471
 189,  616,  472,   46
 190, 1798,  464,  576
 191,  975,  967,   81
 192,  934,  384,  839
 193,  806,  399,  736
 194,  713,  565,  462
 195,  780,  568,   38
 196,  751,  383,  568
 197,  934,  839,  827
 198,  865,  751,  761
 199,  918,  790,  384
 200,  565,   39,  462
 201,  576,  464,  463
 202,  647,  598,  468
